"","Fiscal.Year","Competition.sum","SubCustomer.component","USDATL","Obligation.2014"
"1",2007-09-30,"1 Offer","Army","YOUNG",4.82200250204288
"2",2007-09-30,"1 Offer","Navy","YOUNG",1.88483198865192
"3",2007-09-30,"1 Offer","Air Force","YOUNG",1.33582693301156
"4",2007-09-30,"1 Offer","DLA","YOUNG",0.348267872443596
"5",2007-09-30,"1 Offer","MDA","YOUNG",0.00861343360646537
"6",2007-09-30,"1 Offer","Military
Health","YOUNG",0.000180311303176563
"7",2007-09-30,"1 Offer","Additional
DoD
Components","YOUNG",0.491151231339095
"8",2007-09-30,"2 Offers","Army","YOUNG",3.72946532937479
"9",2007-09-30,"2 Offers","Navy","YOUNG",1.57489112902683
"10",2007-09-30,"2 Offers","Air Force","YOUNG",1.45262434348412
"11",2007-09-30,"2 Offers","DLA","YOUNG",1.31120648290493
"12",2007-09-30,"2 Offers","MDA","YOUNG",0.000431021438994275
"13",2007-09-30,"2 Offers","Military
Health","YOUNG",0
"14",2007-09-30,"2 Offers","Additional
DoD
Components","YOUNG",0.214606337512628
"15",2007-09-30,"3+ Offers","Army","YOUNG",9.6503828745426
"16",2007-09-30,"3+ Offers","Navy","YOUNG",5.64912697619037
"17",2007-09-30,"3+ Offers","Air Force","YOUNG",3.60527134421372
"18",2007-09-30,"3+ Offers","DLA","YOUNG",4.51369423894938
"19",2007-09-30,"3+ Offers","MDA","YOUNG",0.011956692311146
"20",2007-09-30,"3+ Offers","Military
Health","YOUNG",0.000913023459423055
"21",2007-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",0.692885128488046
"22",2007-09-30,"No Comp.","Army","YOUNG",6.75512261352565
"23",2007-09-30,"No Comp.","Navy","YOUNG",4.15663669878774
"24",2007-09-30,"No Comp.","Air Force","YOUNG",4.12651572902683
"25",2007-09-30,"No Comp.","DLA","YOUNG",0.478412760253676
"26",2007-09-30,"No Comp.","MDA","YOUNG",0.011136080368167
"27",2007-09-30,"No Comp.","Military
Health","YOUNG",7.81051520933887e-05
"28",2007-09-30,"No Comp.","Additional
DoD
Components","YOUNG",0.524202642440229
"29",2007-09-30,"Unlabeled","Army","YOUNG",0.0598603615220563
"30",2007-09-30,"Unlabeled","Navy","YOUNG",0.0761397199012235
"31",2007-09-30,"Unlabeled","Air Force","YOUNG",0.0275729967448647
"32",2007-09-30,"Unlabeled","DLA","YOUNG",0.0220748644404535
"33",2007-09-30,"Unlabeled","MDA","YOUNG",1.59613873610955e-05
"34",2007-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.00208089238971826
"35",2008-09-30,"1 Offer","Army","YOUNG",18.5855545895445
"36",2008-09-30,"1 Offer","Navy","YOUNG",6.7603596181128
"37",2008-09-30,"1 Offer","Air Force","YOUNG",4.1166988405423
"38",2008-09-30,"1 Offer","DLA","YOUNG",2.15465062199566
"39",2008-09-30,"1 Offer","MDA","YOUNG",0.246443858926247
"40",2008-09-30,"1 Offer","Military
Health","YOUNG",0.00449116962039046
"41",2008-09-30,"1 Offer","Additional
DoD
Components","YOUNG",2.20077223660521
"42",2008-09-30,"2 Offers","Army","YOUNG",13.4817138448698
"43",2008-09-30,"2 Offers","Navy","YOUNG",6.19479959805857
"44",2008-09-30,"2 Offers","Air Force","YOUNG",5.07309931761388
"45",2008-09-30,"2 Offers","DLA","YOUNG",6.69928440281996
"46",2008-09-30,"2 Offers","MDA","YOUNG",0.0237649621149675
"47",2008-09-30,"2 Offers","Military
Health","YOUNG",0.0347297652603037
"48",2008-09-30,"2 Offers","Additional
DoD
Components","YOUNG",1.23676317636659
"49",2008-09-30,"3+ Offers","Army","YOUNG",35.9925835504664
"50",2008-09-30,"3+ Offers","Navy","YOUNG",21.9813181279696
"51",2008-09-30,"3+ Offers","Air Force","YOUNG",10.5161801743492
"52",2008-09-30,"3+ Offers","DLA","YOUNG",23.2727407785249
"53",2008-09-30,"3+ Offers","MDA","YOUNG",0.0917880013015184
"54",2008-09-30,"3+ Offers","Military
Health","YOUNG",0.350713636507592
"55",2008-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",5.27638687105206
"56",2008-09-30,"No Comp.","Army","YOUNG",42.3241418848156
"57",2008-09-30,"No Comp.","Navy","YOUNG",21.2525900874837
"58",2008-09-30,"No Comp.","Air Force","YOUNG",15.2562038632646
"59",2008-09-30,"No Comp.","DLA","YOUNG",5.18709858645336
"60",2008-09-30,"No Comp.","MDA","YOUNG",0.394058714750542
"61",2008-09-30,"No Comp.","Military
Health","YOUNG",0.000849878752711497
"62",2008-09-30,"No Comp.","Additional
DoD
Components","YOUNG",2.17511609678959
"63",2008-09-30,"Unlabeled","Army","YOUNG",1.38690544236443
"64",2008-09-30,"Unlabeled","Navy","YOUNG",0.697035823036876
"65",2008-09-30,"Unlabeled","Air Force","YOUNG",0.322895954804772
"66",2008-09-30,"Unlabeled","DLA","YOUNG",0.0718819217462039
"67",2008-09-30,"Unlabeled","MDA","YOUNG",0.0130704659219089
"68",2008-09-30,"Unlabeled","Military
Health","YOUNG",0.000215403481561822
"69",2008-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.281672652646421
"70",2009-09-30,"1 Offer","Army","YOUNG",9.58349607839359
"71",2009-09-30,"1 Offer","Army","CARTER",7.67416319709894
"72",2009-09-30,"1 Offer","Navy","YOUNG",6.19534438478026
"73",2009-09-30,"1 Offer","Navy","CARTER",2.71914589931803
"74",2009-09-30,"1 Offer","Air Force","YOUNG",2.56134357485386
"75",2009-09-30,"1 Offer","Air Force","CARTER",1.70208915747997
"76",2009-09-30,"1 Offer","DLA","YOUNG",1.54944210854081
"77",2009-09-30,"1 Offer","DLA","CARTER",1.55674047090279
"78",2009-09-30,"1 Offer","MDA","YOUNG",0.354739552933535
"79",2009-09-30,"1 Offer","MDA","CARTER",0.0277811843364365
"80",2009-09-30,"1 Offer","Military
Health","YOUNG",0.00121137205022732
"81",2009-09-30,"1 Offer","Military
Health","CARTER",0.00454137591470015
"82",2009-09-30,"1 Offer","Additional
DoD
Components","YOUNG",1.46148396744966
"83",2009-09-30,"1 Offer","Additional
DoD
Components","CARTER",0.872805616226456
"84",2009-09-30,"2 Offers","Army","YOUNG",10.0352471849751
"85",2009-09-30,"2 Offers","Army","CARTER",6.34756811446201
"86",2009-09-30,"2 Offers","Navy","YOUNG",4.65191379124269
"87",2009-09-30,"2 Offers","Navy","CARTER",2.19519655707945
"88",2009-09-30,"2 Offers","Air Force","YOUNG",3.6302475096233
"89",2009-09-30,"2 Offers","Air Force","CARTER",2.13466067289457
"90",2009-09-30,"2 Offers","DLA","YOUNG",2.39554150260879
"91",2009-09-30,"2 Offers","DLA","CARTER",1.79038805075774
"92",2009-09-30,"2 Offers","MDA","YOUNG",0.00965382800389695
"93",2009-09-30,"2 Offers","MDA","CARTER",7.25514938298333e-05
"94",2009-09-30,"2 Offers","Military
Health","YOUNG",0.0864590150681966
"95",2009-09-30,"2 Offers","Military
Health","CARTER",0.0273511279064733
"96",2009-09-30,"2 Offers","Additional
DoD
Components","YOUNG",1.27854222113011
"97",2009-09-30,"2 Offers","Additional
DoD
Components","CARTER",1.03265449871184
"98",2009-09-30,"3+ Offers","Army","YOUNG",26.249341665144
"99",2009-09-30,"3+ Offers","Army","CARTER",24.5503619624378
"100",2009-09-30,"3+ Offers","Navy","YOUNG",10.5431999821931
"101",2009-09-30,"3+ Offers","Navy","CARTER",10.2954345706322
"102",2009-09-30,"3+ Offers","Air Force","YOUNG",7.80418435268489
"103",2009-09-30,"3+ Offers","Air Force","CARTER",4.93502865611604
"104",2009-09-30,"3+ Offers","DLA","YOUNG",17.424355017861
"105",2009-09-30,"3+ Offers","DLA","CARTER",10.07027284252
"106",2009-09-30,"3+ Offers","MDA","YOUNG",0.882390505845421
"107",2009-09-30,"3+ Offers","MDA","CARTER",0.0356539083784369
"108",2009-09-30,"3+ Offers","Military
Health","YOUNG",0.411778551353107
"109",2009-09-30,"3+ Offers","Military
Health","CARTER",0.000617892303528902
"110",2009-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",4.63997370246807
"111",2009-09-30,"3+ Offers","Additional
DoD
Components","CARTER",2.23283323741069
"112",2009-09-30,"No Comp.","Army","YOUNG",28.321226079173
"113",2009-09-30,"No Comp.","Army","CARTER",13.9123747868153
"114",2009-09-30,"No Comp.","Navy","YOUNG",24.475867359396
"115",2009-09-30,"No Comp.","Navy","CARTER",7.06149287910803
"116",2009-09-30,"No Comp.","Air Force","YOUNG",18.326934610381
"117",2009-09-30,"No Comp.","Air Force","CARTER",7.40947286597748
"118",2009-09-30,"No Comp.","DLA","YOUNG",1.87315048454211
"119",2009-09-30,"No Comp.","DLA","CARTER",3.58329722929205
"120",2009-09-30,"No Comp.","MDA","YOUNG",0.82701775628924
"121",2009-09-30,"No Comp.","MDA","CARTER",0.00642335292271054
"122",2009-09-30,"No Comp.","Military
Health","YOUNG",1.0599769613661
"123",2009-09-30,"No Comp.","Military
Health","CARTER",7.87330266291405e-05
