fiscal_year,Query_Run,Customer,SubCustomer,ServicesCategory,FundingMechanismClassification,USDATL,BBP1,WSARAreg,BBP2,BBP3,SumOfobligatedAmount,SumOfnumberOfActions
1987,2015-03-19 16:42:44.597,Defense,Army,ICT,Firm Fixed Price,NULL,0,0,0,0,-171000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,ERS,Firm Fixed Price,NULL,0,0,0,0,2935000.0000,NULL
1988,2015-03-19 16:42:44.597,Defense,Navy,Products,NULL,NULL,0,0,0,0,53000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Army,ERS,Firm Fixed Price,NULL,0,0,0,0,538000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,ERS,NULL,NULL,0,0,0,0,1328000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,MED,Firm Fixed Price,NULL,0,0,0,0,156000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,PAMS,Time and Materials,NULL,0,0,0,0,11407000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost No Fee,NULL,0,0,0,0,39000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Plus Award Fee,NULL,0,0,0,0,3570000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,FRS&C,Fixed Price Redetermination,NULL,0,0,0,0,430000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Cost Plus Fixed Fee,NULL,0,0,0,0,299000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Cost Plus Fixed Fee,NULL,0,0,0,0,1453000.0000,NULL
1989,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Firm Fixed Price,NULL,0,0,0,0,2335000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Fixed Price Redetermination,NULL,0,0,0,0,118000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Fixed Price Incentive,NULL,0,0,0,0,117174000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Time and Materials,NULL,0,0,0,0,51568000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost No Fee,NULL,0,0,0,0,7166000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Fixed Price with Economic Price Adjustment,NULL,0,0,0,0,3761000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost Plus Incentive,NULL,0,0,0,0,94426000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Incentive,NULL,0,0,0,0,92500000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Air Force,Products,Fixed Price Redetermination,NULL,0,0,0,0,50430000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost No Fee,NULL,0,0,0,0,53981000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost Plus Award Fee,NULL,0,0,0,0,39689000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost Plus Fixed Fee,NULL,0,0,0,0,201038000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,MED,Firm Fixed Price,NULL,0,0,0,0,111986000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,NULL,NULL,0,0,0,0,298619000.0000,NULL
1990,2015-03-19 16:42:44.597,Defense,Army,PAMS,Time and Materials,NULL,0,0,0,0,159602000.0000,NULL
